DateTime(GMT),Fcst Hour,Temp,DewPt,RH,Wind Speed,POP,QPF,Snow
2018-03-26 18:00:00,1,43,34,71,3,15,0.0,0.0
2018-03-26 19:00:00,2,47,33,59,5,1,0.0,0.0
2018-03-26 20:00:00,3,48,31,52,5,5,0.0,0.0
2018-03-26 21:00:00,4,49,30,47,5,8,0.0,0.0
2018-03-26 22:00:00,5,49,28,43,5,13,0.0,0.0
2018-03-26 23:00:00,6,48,29,47,7,30,0.0,0.0
2018-03-27 00:00:00,7,45,29,52,6,67,0.02,0.0
2018-03-27 01:00:00,8,41,30,66,7,91,0.06,0.0
2018-03-27 02:00:00,9,39,31,73,9,98,0.07,0.0
2018-03-27 03:00:00,10,35,31,87,7,98,0.09,0.9
2018-03-27 04:00:00,11,35,31,87,5,97,0.08,0.8
2018-03-27 05:00:00,12,35,31,86,5,94,0.05,0.5
2018-03-27 06:00:00,13,35,31,85,5,84,0.03,0.3
2018-03-27 07:00:00,14,34,31,87,5,65,0.01,0.1
2018-03-27 08:00:00,15,33,30,87,4,51,0.01,0.1
2018-03-27 09:00:00,16,33,29,87,4,49,0.01,0.1
2018-03-27 10:00:00,17,32,29,88,3,39,0.01,0.1
2018-03-27 11:00:00,18,31,28,86,2,47,0.01,0.1
2018-03-27 12:00:00,19,31,27,86,2,19,0.0,0.0
2018-03-27 13:00:00,20,30,28,92,2,21,0.0,0.0
2018-03-27 14:00:00,21,30,28,95,2,9,0.0,0.0
2018-03-27 15:00:00,22,32,28,87,2,4,0.0,0.0
2018-03-27 16:00:00,23,35,28,76,3,2,0.0,0.0
2018-03-27 17:00:00,24,37,26,65,3,1,0.0,0.0
2018-03-27 18:00:00,25,40,26,57,3,1,0.0,0.0
2018-03-27 19:00:00,26,43,26,52,4,1,0.0,0.0
2018-03-27 20:00:00,27,45,26,47,5,1,0.0,0.0
2018-03-27 21:00:00,28,46,26,46,6,1,0.0,0.0
2018-03-27 22:00:00,29,47,26,44,5,1,0.0,0.0
2018-03-27 23:00:00,30,46,27,47,5,1,0.0,0.0
2018-03-28 00:00:00,31,45,27,50,4,1,0.0,0.0
2018-03-28 01:00:00,32,43,27,53,2,2,0.0,0.0
2018-03-28 02:00:00,33,41,27,55,3,2,0.0,0.0
2018-03-28 03:00:00,34,40,26,57,4,2,0.0,0.0
2018-03-28 04:00:00,35,39,25,56,4,2,0.0,0.0
2018-03-28 05:00:00,36,39,23,53,5,1,0.0,0.0
2018-03-28 06:00:00,37,38,21,50,6,1,0.0,0.0
2018-03-28 07:00:00,38,38,21,51,7,1,0.0,0.0
2018-03-28 08:00:00,39,38,20,49,9,0,0.0,0.0
2018-03-28 09:00:00,40,38,20,49,9,0,0.0,0.0
2018-03-28 10:00:00,41,38,20,49,9,0,0.0,0.0
2018-03-28 11:00:00,42,38,21,52,8,0,0.0,0.0
2018-03-28 12:00:00,43,37,22,54,9,0,0.0,0.0
2018-03-28 13:00:00,44,37,23,57,8,0,0.0,0.0
2018-03-28 14:00:00,45,38,24,57,7,0,0.0,0.0
2018-03-28 15:00:00,46,43,27,53,5,0,0.0,0.0
2018-03-28 16:00:00,47,45,27,48,5,0,0.0,0.0
2018-03-28 17:00:00,48,47,27,44,5,0,0.0,0.0
2018-03-28 18:00:00,49,49,26,41,6,2,0.0,0.0
2018-03-28 19:00:00,50,50,26,38,8,4,0.0,0.0
2018-03-28 20:00:00,51,51,25,37,10,7,0.0,0.0
2018-03-28 21:00:00,52,51,26,38,11,9,0.0,0.0
2018-03-28 22:00:00,53,52,25,35,10,12,0.0,0.0
2018-03-28 23:00:00,54,51,24,36,10,10,0.0,0.0
2018-03-29 00:00:00,55,48,24,39,7,14,0.0,0.0
2018-03-29 01:00:00,56,46,26,47,5,17,0.0,0.0
2018-03-29 02:00:00,57,42,28,57,4,23,0.0,0.0
2018-03-29 03:00:00,58,40,30,65,4,38,0.01,0.0
2018-03-29 04:00:00,59,39,30,69,3,46,0.01,0.0
2018-03-29 05:00:00,60,38,31,74,2,47,0.01,0.0
2018-03-29 06:00:00,61,37,30,75,2,34,0.01,0.0
2018-03-29 07:00:00,62,36,31,81,1,41,0.01,0.1
2018-03-29 08:00:00,63,36,31,84,2,49,0.01,0.1
2018-03-29 09:00:00,64,35,31,84,1,43,0.01,0.1
2018-03-29 10:00:00,65,34,30,83,3,45,0.01,0.1
2018-03-29 11:00:00,66,33,29,84,3,37,0.01,0.1
2018-03-29 12:00:00,67,33,28,82,3,49,0.02,0.2
2018-03-29 13:00:00,68,32,28,82,4,51,0.02,0.2
2018-03-29 14:00:00,69,33,28,82,3,43,0.01,0.1
2018-03-29 15:00:00,70,36,28,73,2,36,0.01,0.1
2018-03-29 16:00:00,71,38,27,65,4,24,0.0,0.0
2018-03-29 17:00:00,72,39,25,57,6,17,0.0,0.0
2018-03-29 18:00:00,73,41,24,49,7,14,0.0,0.0
2018-03-29 19:00:00,74,43,22,42,7,20,0.0,0.0
2018-03-29 20:00:00,75,44,21,39,7,24,0.0,0.0
2018-03-29 21:00:00,76,44,21,39,6,24,0.0,0.0
2018-03-29 22:00:00,77,45,21,38,6,24,0.0,0.0
2018-03-29 23:00:00,78,45,21,38,6,24,0.0,0.0
2018-03-30 00:00:00,79,43,21,42,5,11,0.0,0.0
2018-03-30 01:00:00,80,40,24,52,3,11,0.0,0.0
2018-03-30 02:00:00,81,39,23,52,4,11,0.0,0.0
2018-03-30 03:00:00,82,39,23,52,4,5,0.0,0.0
2018-03-30 04:00:00,83,38,22,52,4,5,0.0,0.0
2018-03-30 05:00:00,84,36,20,51,4,5,0.0,0.0
2018-03-30 06:00:00,85,34,19,54,4,2,0.0,0.0
2018-03-30 07:00:00,86,33,20,57,4,2,0.0,0.0
2018-03-30 08:00:00,87,33,20,58,4,1,0.0,0.0
2018-03-30 09:00:00,88,32,20,59,3,1,0.0,0.0
2018-03-30 10:00:00,89,31,19,63,3,1,0.0,0.0
2018-03-30 11:00:00,90,29,19,65,3,1,0.0,0.0
2018-03-30 12:00:00,91,29,19,68,3,1,0.0,0.0
2018-03-30 13:00:00,92,30,21,68,3,1,0.0,0.0
2018-03-30 14:00:00,93,32,22,66,3,1,0.0,0.0
2018-03-30 15:00:00,94,37,24,58,3,0,0.0,0.0
2018-03-30 16:00:00,95,40,24,52,4,0,0.0,0.0
2018-03-30 17:00:00,96,41,24,51,6,0,0.0,0.0
2018-03-30 18:00:00,97,44,25,47,6,3,0.0,0.0
2018-03-30 19:00:00,98,48,25,41,7,2,0.0,0.0
2018-03-30 20:00:00,99,51,25,36,8,2,0.0,0.0
2018-03-30 21:00:00,100,53,25,33,8,2,0.0,0.0
2018-03-30 22:00:00,101,54,25,33,8,2,0.0,0.0
2018-03-30 23:00:00,102,54,27,35,7,3,0.0,0.0
2018-03-31 00:00:00,103,52,27,38,6,2,0.0,0.0
2018-03-31 01:00:00,104,49,27,43,5,1,0.0,0.0
2018-03-31 02:00:00,105,47,27,47,5,0,0.0,0.0
2018-03-31 03:00:00,106,45,27,48,6,1,0.0,0.0
